blockchain,dex,pool,pool_id,date,Spread,swap_count,volume,order_size,pool_type
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-06-02 0:00,0.7363,12,2812308.071,117579.2468,Stable Pair
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-06-02 0:00,0.7363,12,2812308.071,117579.2468,Stable Pair
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-27 0:00,0.3585,16,2710617.944,84583.9558,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-08 0:00,0.0776,22,2683212.37,60998.04314,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-02 0:00,0.032,13,2606233.592,100238.9317,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-06 0:00,0.0271,29,2559734.778,44134.11667,Stable Pair
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-26 0:00,1.0189,18,2547431.454,70834.1638,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-31 0:00,0.0094,30,2497067.115,41619.82099,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-11 0:00,0.0743,24,2459398.521,51248.26201,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-05-31 0:00,0.0483,20,2380396.28,59514.97457,Stable Pair
ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-06-05 0:00,0.0223,40,2334015.552,29175.37889,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-05 0:00,0.0292,26,2330459.177,44819.9539,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-28 0:00,0.0616,24,2318027.103,48280.34685,Stable Pair
ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-06-02 0:00,0.0155,24,2313073.937,48188.53078,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-07 0:00,0.0263,31,2278465.712,36750.23014,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-07 0:00,0.0263,31,2278465.712,36750.23014,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-01 0:00,0.026,20,2243676.156,56092.45873,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-12 0:00,0.0096,30,2234801.587,37248.39154,Stable Pair
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-06-10 0:00,2.9333,30,2194323.937,36804.57416,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-18 0:00,0.0085,28,2187006.86,39055.5967,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-30 0:00,0.0098,15,2159190.291,71976.32286,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-17 0:00,0.0076,27,2156099.083,39929.19547,Stable Pair
ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-05-31 0:00,0.0901,19,2122166.076,55849.3273,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-13 0:00,0.0576,11,2098724.826,95424.13783,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-05-28 0:00,0.0152,12,2093103.768,87217.19646,Stable Pair
ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-06-09 0:00,0.0153,30,2032770.228,33879.34799,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-14 0:00,0.0411,13,2016395.535,77563.48719,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-14 0:00,0.0411,13,2016395.535,77563.48719,Stable Pair
ethereum,curve,crvUSD-USDP,0xca978a0528116dda3cba9acd3e68bc6191ca53d0,2023-06-11 0:00,0.0516,13,1974039.694,75910.02268,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-23 0:00,0.0082,28,1867488.469,33349.46089,Stable Pair
ethereum,curve,EURA-EURC,0xba3436fd341f2c8a928452db3c5a3670d1d5cc73,2023-05-25 0:00,0.0417,14,1867127.751,66697.46148,Stable Pair
ethereum,curve,EURA-EURC,0xba3436fd341f2c8a928452db3c5a3670d1d5cc73,2023-05-25 0:00,0.0417,14,1867127.751,66697.46148,Stable Pair
ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-05-26 0:00,0.0117,15,1856352.289,61875.92794,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-24 0:00,0.0093,24,1836210.576,38256.24557,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-01 0:00,0.0746,11,1778953.897,80877.86188,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-31 0:00,0.0749,19,1761957.427,46383.66183,Stable Pair
ethereum,curve,USDC-USDT,0xa5407eae9ba41422680e2e00537571bcc53efbfd,2023-05-28 0:00,0.0164,12,1728293.899,72021.73829,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-05-24 0:00,0.0712,19,1708702.725,44970.09749,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-16 0:00,0.0552,13,1663827.894,64006.0265,Stable Pair
ethereum,curve,TUSD-USDC,0x33baeda08b8afacc4d3d07cf31d49fc1f1f3e893,2023-06-08 0:00,0.1007,14,1594872.72,56959.8048,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-28 0:00,0.0106,14,1570587.997,56095.4917,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-27 0:00,0.0231,41,1562779.481,19058.82367,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-26 0:00,0.011,23,1520647.973,33059.42364,Stable Pair
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-06-05 0:00,1.9482,20,1498425.004,37694.01139,Stable Pair
ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-05-30 0:00,0.0522,15,1466440.164,48889.00985,Stable Pair
ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-06-01 0:00,0.03,15,1348553.631,44955.20367,Stable Pair
ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-05-25 0:00,0.0795,17,1342740.888,39495.41858,Stable Pair
